mal_id,name,score,genres,english_name,japanese_name,type,episodes,aired,premiered,producers,licensors,studios,source,duration,rating,ranked,members,director,producer
1,Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",Cowboy Bebop,カウボーイビバップ,TV,26,"Apr 3, 1998 to Apr 24, 1999",Spring 1998,Bandai Visual,"Funimation, Bandai Entertainment",Sunrise,Original,24 min. per ep.,R - 17+ (violence & profanity),28.0,1251960,Shinichirō Watanabe,Masahiko MinamiKazuhiko Ikeguchi
6,Trigun,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",Trigun,トライガン,TV,26,"Apr 1, 1998 to Sep 30, 1998",Spring 1998,Victor Entertainment,"Funimation, Geneon Entertainment USA",Madhouse,Manga,24 min. per ep.,PG-13 - Teens 13 or older,266.0,558913,Satoshi Nishimura,Shigeru Kitayama
7,Witch Hunter Robin,7.27,"Action, Mystery, Police, Supernatural, Drama, Magic",Witch Hunter Robin,Witch Hunter ROBIN (ウイッチハンターロビン),TV,26,"Jul 2, 2002 to Dec 24, 2002",Summer 2002,"TV Tokyo, Bandai Visual, Dentsu, Victor Entertainment","Funimation, Bandai Entertainment",Sunrise,Original,25 min. per ep.,PG-13 - Teens 13 or older,2481.0,94683,Shūkō Murase,Keiichi MatsumuraAtsushi Sugita
8,Bouken Ou Beet,6.98,"Adventure, Fantasy, Shounen, Supernatural",Beet the Vandel Buster,冒険王ビィト,TV,52,"Sep 30, 2004 to Sep 29, 2005",Fall 2004,"TV Tokyo, Dentsu",Unknown,Toei Animation,Manga,23 min. per ep.,PG - Children,3710.0,13224,Tatsuya Nagamine,
16,Hachimitsu to Clover,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",Honey and Clover,ハチミツとクローバー,TV,24,"Apr 15, 2005 to Sep 27, 2005",Spring 2005,"Genco, Fuji TV, Shueisha","VIZ Media, Discotek Media",J.C.Staff,Manga,23 min. per ep.,PG-13 - Teens 13 or older,468.0,214499,Li Yun Chan,
22,Tennis no Ouji-sama,7.9,"Action, Comedy, Sports, School, Shounen",The Prince of Tennis,テニスの王子様,TV,178,"Oct 10, 2001 to Mar 23, 2005",Fall 2001,"Production I.G, Nihon Ad Systems",VIZ Media,Trans Arts,Manga,22 min. per ep.,PG-13 - Teens 13 or older,675.0,141832,Hiroshi Kōjina,Shuhei Arai
24,School Rumble,7.94,"Comedy, Romance, School, Shounen",School Rumble,スクールランブル,TV,26,"Oct 5, 2004 to Mar 29, 2005",Fall 2004,"TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack",Funimation,Studio Comet,Manga,23 min. per ep.,PG-13 - Teens 13 or older,625.0,275464,Shinji Takamatsu,Bunpei OgawaKensuke TateishiMasakazu YoshimotoMotohiro NakataRyoichi Suzuki
25,Sunabouzu,7.42,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",Desert Punk,砂ぼうず,TV,24,"Oct 6, 2004 to Mar 30, 2005",Fall 2004,"GDH, Pony Canyon, CBC",Funimation,Gonzo,Manga,24 min. per ep.,R - 17+ (violence & profanity),1844.0,111734,Takayuki Inagaki,Kazuhiko SuzukiTakashi WatanabeTakeyuki OkazakiTakuya ChibaYoko KawaharaYuuichi Tanaka
26,Texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama",Texhnolyze,TEXHNOLYZE,TV,22,"Apr 17, 2003 to Sep 25, 2003",Spring 2003,"Group TAC, Rondo Robe, Fuji TV, Pioneer LDC","Funimation, Geneon Entertainment USA",Madhouse,Original,23 min. per ep.,R+ - Mild Nudity,896.0,182599,Hiroshi Hamasaki,Henry GotōSatoshi ShikataYasuyuki UedaYoshimichi Murata
27,Trinity Blood,7.32,"Action, Supernatural, Vampire",Trinity Blood,トリニティ・ブラッド,TV,24,"Apr 29, 2005 to Oct 28, 2005",Spring 2005,Unknown,Funimation,Gonzo,Light novel,24 min. per ep.,R - 17+ (violence & profanity),2240.0,158343,Tomohiro Hirata,
28,Yakitate!! Japan,7.95,"Comedy, Shounen",Yakitate!! Japan,焼きたて!! ジャぱん,TV,69,"Oct 12, 2004 to Mar 14, 2006",Fall 2004,"TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa",Nozomi Entertainment,Sunrise,Manga,24 min. per ep.,PG-13 - Teens 13 or older,609.0,80183,Yasunao Aoki,Norio YamakawaHideyuki Tomioka
30,Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",Neon Genesis Evangelion,新世紀エヴァンゲリオン,TV,26,"Oct 4, 1995 to Mar 27, 1996",Fall 1995,"TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","ADV Films, Netflix","Gainax, Tatsunoko Production",Original,24 min. per ep.,PG-13 - Teens 13 or older,208.0,1160651,"
Hideaki Anno
Masayuki (assistant)
Kazuya Tsurumaki (assistant)
","
Noriko Kobayashi (TV Tokyo)
Yutaka Sugiyama (NAS)
"
48,.hack//Sign,6.98,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",.hack//Sign,.hack//SIGN,TV,26,"Apr 4, 2002 to Sep 26, 2002",Spring 2002,"Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2","Funimation, Bandai Entertainment",Bee Train,Original,24 min. per ep.,PG-13 - Teens 13 or older,3687.0,158227,Kōichi Mashimo,
49,Aa! Megami-sama!,7.32,"Comedy, Magic, Romance, Seinen, Supernatural",Oh! My Goddess,ああっ女神さまっ,OVA,5,"Feb 21, 1993 to May 17, 1994",Unknown,"Bandai Visual, KSS, Pony Canyon, TBS, Kodansha, Half H.P Studio, Nichion",AnimEigo,AIC,Manga,30 min. per ep.,PG-13 - Teens 13 or older,2226.0,46428,Hiroaki Gohda,
50,Aa! Megami-sama! (TV),7.35,"Comedy, Supernatural, Magic, Romance, Seinen",Ah! My Goddess,ああっ女神さまっ,TV,24,"Jan 7, 2005 to Jul 8, 2005",Winter 2005,"Bandai Visual, TBS, Imagine","Media Blasters, NYAV Post",AIC,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2116.0,135747,Hiroaki Gohda,
51,Tenshi Kinryouku,6.31,"Action, Drama, Romance, Shoujo, Supernatural",Angel Sanctuary,天使禁猟区,OVA,3,"May 25, 2000 to Aug 25, 2000",Unknown,"Bandai Visual, AIC, Lantis, Audio Tanaka",Media Blasters,Hal Film Maker,Manga,30 min. per ep.,R+ - Mild Nudity,6823.0,43960,Kiyoko Sayama,Satoshi KuboYoshiyuki ItōKatsunori Haruta
52,Kidou Tenshi Angelic Layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen",Battle Doll Angelic Layer,機動天使エンジェリックレイヤー,TV,26,"Apr 1, 2001 to Sep 23, 2001",Spring 2001,TV Tokyo Music,"ADV Films, Sentai Filmworks",Bones,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2529.0,51022,Hiroshi Nishikiori,Masahiko MinamiShinsaku HattaTaihei Yamanishi
53,Ai Yori Aoshi,7.14,"Harem, Slice of Life, Comedy, Drama, Romance",Ai Yori Aoshi,藍より青し,TV,24,"Apr 11, 2002 to Sep 26, 2002",Spring 2002,"Movic, Fuji TV, Pioneer LDC, Cosmic Ray","Funimation, Geneon Entertainment USA",J.C.Staff,Manga,23 min. per ep.,PG-13 - Teens 13 or older,3012.0,94793,Masami Shimoda,Nobuyuki YamamotoShōichi NakazawaYūichi SekidoYūji Matsukura
