,title_english,imdb_rating,votes_imdb,metascore,year,director,stars,imdb_trust
0,Ninja turtles: caos mutante,"7,6",7582.0,74.0,2023,"Jeff Rowe, Kyler Spears","Micah Abbey, Shamon Brown Jr., Nicolas Cantu, Brady Noon",False
1,Super Mario Bros.: La película,"7,1",172669.0,46.0,2023,"Aaron Horvath, Michael Jelenic, Pierre Leduc, Fabien Polack","Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black",True
2,Futurama,"8,5",249936.0,,1999,,"Billy West, John DiMaggio, Katey Sagal, Tress MacNeille",True
3,One Piece,"8,9",162836.0,,1999,,"Mayumi Tanaka, Laurent Vernin, Tony Beck, Akemi Okamura",True
4,Spider-Man: Cruzando el multiverso,"8,9",200405.0,86.0,2023,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez",True
5,Prodigiosa: Las aventuras de Ladybug - La película,"6,2",3044.0,,2023,Jeremy Zag,"Annouck Hautbois, Benjamin Bollen, Antoine Tomé, Fanny Bloc",False
6,Capitán Fall,"6,9",1146.0,,2023,,"Jason Ritter, Christopher Meloni, Lesley-Ann Brandt, Anthony Carrigan",False
7,Invincible,"8,7",160632.0,,2021,,"Steven Yeun, J.K. Simmons, Sandra Oh, Zazie Beetz",True
8,Jujutsu Kaisen,"8,5",78716.0,,2020,,"Junya Enoki, Yûichi Nakamura, Adam McArthur, Yuma Uchida",False
9,Ataque a los titanes,"9,1",424082.0,,2013,,"Josh Grelle, Bryce Papenbrook, Yûki Kaji, Yui Ishikawa",True
10,Elemental,"7,1",29162.0,58.0,2023,Peter Sohn,"Leah Lewis, Mamoudou Athie, Ronnie Del Carmen, Shila Ommi",False
11,El gato con botas: El último deseo,"7,9",147374.0,73.0,2022,"Joel Crawford, Januel Mercado","Antonio Banderas, Salma Hayek, Harvey Guillén, Florence Pugh",True
12,Harley Quinn,"8,5",34417.0,,2019,,"Kaley Cuoco, Lake Bell, Alan Tudyk, Ron Funches",False
13,Los Simpson,"8,7",421809.0,,1989,,"Dan Castellaneta, Nancy Cartwright, Harry Shearer, Julie Kavner",True
14,Prodigiosa: Las aventuras de Ladybug,"7,6",13915.0,,2015,,"Cristina Valenzuela, Bryce Papenbrook, Keith Silverstein, Max Mittelman",False
15,Resident Evil: Death Island,"5,8",4281.0,,2023,Eiichirô Hasumi,"Matthew Mercer, Nicole Tompkins, Kevin Dorman, Stephanie Panisello",False
16,Rick y Morty,"9,1",561926.0,,2013,,"Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke",True
17,My Adventures with Superman,"7,7",2645.0,,2023,,"Jack Quaid, Alice Lee, Ishmel Sahid, Darrell Brown",False
18,Nimona,"7,6",24069.0,75.0,2023,"Nick Bruno, Troy Quane","Chloë Grace Moretz, Riz Ahmed, Eugene Lee Yang, Frances Conroy",False
19,South Park,"8,7",392445.0,,1997,,"Trey Parker, Matt Stone, Isaac Hayes, Mona Marshall",True
20,Demon Slayer: Kimetsu no Yaiba,"8,7",128442.0,,2019,,"Natsuki Hanae, Zach Aguilar, Abby Trott, Akari Kitô",True
21,Padre de familia,"8,2",353495.0,,1999,,"Seth MacFarlane, Alex Borstein, Seth Green, Mila Kunis",True
