,title_english,imdb_rating,votes_imdb,metascore,dir_stars
0,1. Ninja turtles: caos mutante (2023),"7,6",7.582,74,"Directors: Jeff Rowe, Kyler Spears | Stars: Micah Abbey, Shamon Brown Jr., Nicolas Cantu, Brady Noon"
1,2. Super Mario Bros.: La película (2023),"7,1",172.669,46,"Directors: Aaron Horvath, Michael Jelenic, Pierre Leduc, Fabien Polack | Stars: Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black"
2,3. Futurama (1999–2023),"8,5",249.936,,"Stars: Billy West, John DiMaggio, Katey Sagal, Tress MacNeille"
3,4. One Piece (1999– ),"8,9",162.836,,"Stars: Mayumi Tanaka, Laurent Vernin, Tony Beck, Akemi Okamura"
4,5. Spider-Man: Cruzando el multiverso (2023),"8,9",200.405,86,"Directors: Joaquim Dos Santos, Kemp Powers, Justin K. Thompson | Stars: Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez"
5,6. Prodigiosa: Las aventuras de Ladybug - La película (2023),"6,2",3.044,,"Director: Jeremy Zag | Stars: Annouck Hautbois, Benjamin Bollen, Antoine Tomé, Fanny Bloc"
6,7. Capitán Fall (2023– ),"6,9",1.146,,"Stars: Jason Ritter, Christopher Meloni, Lesley-Ann Brandt, Anthony Carrigan"
7,8. Invincible (2021– ),"8,7",160.632,,"Stars: Steven Yeun, J.K. Simmons, Sandra Oh, Zazie Beetz"
8,9. Jujutsu Kaisen (2020– ),"8,5",78.716,,"Stars: Junya Enoki, Yûichi Nakamura, Adam McArthur, Yuma Uchida"
9,10. Ataque a los titanes (2013–2023),"9,1",424.082,,"Stars: Josh Grelle, Bryce Papenbrook, Yûki Kaji, Yui Ishikawa"
10,11. Elemental (2023),"7,1",29.162,58,"Director: Peter Sohn | Stars: Leah Lewis, Mamoudou Athie, Ronnie Del Carmen, Shila Ommi"
11,12. El gato con botas: El último deseo (2022),"7,9",147.374,73,"Directors: Joel Crawford, Januel Mercado | Stars: Antonio Banderas, Salma Hayek, Harvey Guillén, Florence Pugh"
12,13. Harley Quinn (2019– ),"8,5",34.417,,"Stars: Kaley Cuoco, Lake Bell, Alan Tudyk, Ron Funches"
13,14. Los Simpson (1989– ),"8,7",421.809,,"Stars: Dan Castellaneta, Nancy Cartwright, Harry Shearer, Julie Kavner"
14,15. Prodigiosa: Las aventuras de Ladybug (2015– ),"7,6",13.915,,"Stars: Cristina Valenzuela, Bryce Papenbrook, Keith Silverstein, Max Mittelman"
15,16. Resident Evil: Death Island (2023),"5,8",4.281,,"Director: Eiichirô Hasumi | Stars: Matthew Mercer, Nicole Tompkins, Kevin Dorman, Stephanie Panisello"
16,17. Rick y Morty (2013– ),"9,1",561.926,,"Stars: Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke"
17,18. My Adventures with Superman (2023– ),"7,7",2.645,,"Stars: Jack Quaid, Alice Lee, Ishmel Sahid, Darrell Brown"
18,19. Nimona (2023),"7,6",24.069,75,"Directors: Nick Bruno, Troy Quane | Stars: Chloë Grace Moretz, Riz Ahmed, Eugene Lee Yang, Frances Conroy"
19,20. South Park (1997– ),"8,7",392.445,,"Stars: Trey Parker, Matt Stone, Isaac Hayes, Mona Marshall"
20,21. Demon Slayer: Kimetsu no Yaiba (2019– ),"8,7",128.442,,"Stars: Natsuki Hanae, Zach Aguilar, Abby Trott, Akari Kitô"
21,22. Padre de familia (1999– ),"8,2",353.495,,"Stars: Seth MacFarlane, Alex Borstein, Seth Green, Mila Kunis"
22,23. Vida perra (2023),"6,9",204,,"Director: Josh Greenbaum | Stars: Will Ferrell, Jamie Foxx, Sofía Vergara, Isla Fisher"
23,"24. Ruby, aventuras de una kraken adolescente (2023)","5,7",4.844,50,"Directors: Kirk DeMicco, Faryn Pearl | Stars: Jane Fonda, Lana Condor, Toni Collette, Colman Domingo"
24,25. Spider-Man: Un nuevo universo (2018),"8,4",616.675,87,"Directors: Bob Persichetti, Peter Ramsey, Rodney Rothman | Stars: Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali"
25,26. Star Trek: Lower Decks (2020– ),"7,6",21.226,,"Stars: Tawny Newsome, Jack Quaid, Noël Wells, Eugene Cordero"
26,27. Bleach: Thousand Year Blood War (2022– ),"9,1",22.352,,"Stars: Masakazu Morita, Johnny Yong Bosch, Takayuki Sugô, Richard Epcar"
27,28. Zom 100: Cien cosas que quiero hacer antes de convertirme en zombi (2023– ),"8,2",1.180,,"Stars: Shuichiro Umeda, Zeno Robinson, Makoto Furukawa, Kenta Miyake"
28,29. Bluey (2018– ),"9,5",18.691,,"Stars: David McCormack, Melanie Zanetti, Ninthe van Schie, Brad Elliott"
29,30. Justice League: Warworld (2023),"5,3",1.462,,"Director: Jeff Wamester | Stars: Jensen Ackles, Ike Amadi, Troy Baker, Matt Bomer"
30,31. El príncipe dragón (2018– ),"8,3",25.806,,"Stars: Paula Burrows, Jack De Sena, Sasha Rojen, Racquel Belmonte"
31,32. Avatar. La leyenda de Aang (2005–2008),"9,3",338.918,,"Stars: Dee Bradley Baker, Zach Tyler Eisen, Mae Whitman, Jack De Sena"
32,33. BoJack Horseman (2014–2020),"8,8",173.858,,"Stars: Will Arnett, Amy Sedaris, Alison Brie, Aaron Paul"
33,34. Arcane (2021– ),"9,0",237.682,,"Stars: Hailee Steinfeld, Kevin Alejandro, Jason Spisak, Terri Douglas"
34,35. Star Wars Rebels (2014–2018),"8,0",50.723,,"Stars: Dave Filoni, Taylor Gray, Freddie Prinze Jr., Vanessa Marshall"
35,36. Vinland Saga (2019– ),"8,8",56.360,,"Stars: Yûto Uemura, Mike Haimoto, Alejandro Saab, Aleks Le"
36,37. Star Wars: The Clone Wars (2008–2020),"8,4",109.538,,"Stars: Tom Kane, Dee Bradley Baker, Matt Lanter, James Arnold Taylor"
37,38. Baki Hanma (2021– ),"6,8",2.832,,"Stars: Troy Baker, Kirk Thornton, Mick Wingert, Ray Chase"
38,39. The First Slam Dunk (2022),"8,4",4.327,87,"Director: Takehiko Inoue | Stars: Jon Allen, Ben Balmaceda, Luis Bermudez, Paul Castro Jr."
