,title_english,imdb_rating,votes_imdb,metascore,dir_stars
0,1. Futurama (1999–2023),"8,5",249.934,,"Stars: Billy West, John DiMaggio, Katey Sagal, Tress MacNeille"
1,2. Invincible (2021– ),"8,7",160.622,,"Stars: Steven Yeun, J.K. Simmons, Sandra Oh, Zazie Beetz"
2,3. Spider-Man: Cruzando el multiverso (2023),"8,9",200.375,86,"Directors: Joaquim Dos Santos, Kemp Powers, Justin K. Thompson | Stars: Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez"
3,4. Ninja turtles: caos mutante (2023),"7,6",7.582,74,"Directors: Jeff Rowe, Kyler Spears | Stars: Micah Abbey, Shamon Brown Jr., Nicolas Cantu, Brady Noon"
4,5. Super Mario Bros.: La película (2023),"7,1",172.624,46,"Directors: Aaron Horvath, Michael Jelenic, Pierre Leduc, Fabien Polack | Stars: Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black"
5,6. Jujutsu Kaisen (2020– ),"8,5",78.703,,"Stars: Junya Enoki, Yûichi Nakamura, Adam McArthur, Yuma Uchida"
6,7. One Piece (1999– ),"8,9",162.771,,"Stars: Mayumi Tanaka, Laurent Vernin, Tony Beck, Akemi Okamura"
7,8. Elemental (2023),"7,1",29.149,58,"Director: Peter Sohn | Stars: Leah Lewis, Mamoudou Athie, Ronnie Del Carmen, Shila Ommi"
8,9. Ataque a los titanes (2013–2023),"9,1",424.065,,"Stars: Josh Grelle, Bryce Papenbrook, Yûki Kaji, Yui Ishikawa"
9,10. Prodigiosa: Las aventuras de Ladybug - La película (2023),"6,2",3.040,,"Director: Jeremy Zag | Stars: Annouck Hautbois, Benjamin Bollen, Antoine Tomé, Fanny Bloc"
10,11. El gato con botas: El último deseo (2022),"7,9",147.360,73,"Directors: Joel Crawford, Januel Mercado | Stars: Antonio Banderas, Salma Hayek, Harvey Guillén, Florence Pugh"
11,12. Resident Evil: Death Island (2023),"5,8",4.281,,"Director: Eiichirô Hasumi | Stars: Matthew Mercer, Nicole Tompkins, Kevin Dorman, Stephanie Panisello"
12,13. Star Trek: Lower Decks (2020– ),"7,6",21.225,,"Stars: Tawny Newsome, Jack Quaid, Noël Wells, Eugene Cordero"
13,"14. Ruby, aventuras de una kraken adolescente (2023)","5,7",4.842,50,"Directors: Kirk DeMicco, Faryn Pearl | Stars: Jane Fonda, Lana Condor, Toni Collette, Colman Domingo"
14,15. Nimona (2023),"7,6",24.058,75,"Directors: Nick Bruno, Troy Quane | Stars: Chloë Grace Moretz, Riz Ahmed, Eugene Lee Yang, Frances Conroy"
15,16. Justice League: Warworld (2023),"5,3",1.459,,"Director: Jeff Wamester | Stars: Jensen Ackles, Ike Amadi, Troy Baker, Matt Bomer"
16,17. My Adventures with Superman (2023– ),"7,7",2.643,,"Stars: Jack Quaid, Alice Lee, Ishmel Sahid, Darrell Brown"
17,18. Los Simpson (1989– ),"8,7",421.808,,"Stars: Dan Castellaneta, Nancy Cartwright, Harry Shearer, Julie Kavner"
18,19. Rick y Morty (2013– ),"9,1",561.921,,"Stars: Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke"
19,20. Spider-Man: Un nuevo universo (2018),"8,4",616.662,87,"Directors: Bob Persichetti, Peter Ramsey, Rodney Rothman | Stars: Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali"
20,21. El príncipe dragón (2018– ),"8,3",25.805,,"Stars: Paula Burrows, Jack De Sena, Sasha Rojen, Racquel Belmonte"
21,22. Harley Quinn (2019– ),"8,5",34.415,,"Stars: Kaley Cuoco, Lake Bell, Alan Tudyk, Ron Funches"
22,23. Demon Slayer: Kimetsu no Yaiba (2019– ),"8,7",128.442,,"Stars: Natsuki Hanae, Zach Aguilar, Abby Trott, Akari Kitô"
23,24. South Park (1997– ),"8,7",392.445,,"Stars: Trey Parker, Matt Stone, Isaac Hayes, Mona Marshall"
24,25. Padre de familia (1999– ),"8,2",353.494,,"Stars: Seth MacFarlane, Alex Borstein, Seth Green, Mila Kunis"
25,26. Prodigiosa: Las aventuras de Ladybug (2015– ),"7,6",13.913,,"Stars: Cristina Valenzuela, Bryce Papenbrook, Keith Silverstein, Max Mittelman"
26,27. Bleach: Thousand Year Blood War (2022– ),"9,1",22.347,,"Stars: Masakazu Morita, Johnny Yong Bosch, Takayuki Sugô, Richard Epcar"
27,28. Vida perra (2023),"6,9",204,,"Director: Josh Greenbaum | Stars: Will Ferrell, Jamie Foxx, Sofía Vergara, Isla Fisher"
28,29. Praise Petey (2023– ),"5,8",389,,"Stars: Annie Murphy, John Cho, Kiersey Clemons, Stephen Root"
29,30. Bluey (2018– ),"9,5",18.690,,"Stars: David McCormack, Melanie Zanetti, Ninthe van Schie, Brad Elliott"
30,31. Arcane (2021– ),"9,0",237.674,,"Stars: Hailee Steinfeld, Kevin Alejandro, Jason Spisak, Terri Douglas"
31,32. Avatar. La leyenda de Aang (2005–2008),"9,3",338.914,,"Stars: Dee Bradley Baker, Zach Tyler Eisen, Mae Whitman, Jack De Sena"
32,33. Vinland Saga (2019– ),"8,8",56.356,,"Stars: Yûto Uemura, Mike Haimoto, Alejandro Saab, Aleks Le"
33,34. BoJack Horseman (2014–2020),"8,8",173.855,,"Stars: Will Arnett, Amy Sedaris, Alison Brie, Aaron Paul"
