title_english,imdb_rating,imdb_trust,score,japanese_name
Jujutsu Kaisen,8.5,False,6.95,呪術廻戦
Hunter x Hunter,9.0,True,8.42,HUNTER×HUNTER（ハンター×ハンター）
Hunter x Hunter,9.0,True,9.1,HUNTER×HUNTER（ハンター×ハンター）
Hunter x Hunter,8.6,False,8.42,HUNTER×HUNTER（ハンター×ハンター）
Hunter x Hunter,8.6,False,9.1,HUNTER×HUNTER（ハンター×ハンター）
My Hero Academia,8.3,False,8.11,僕のヒーローアカデミア
Death Note,8.9,True,8.63,デスノート
Black Clover,8.3,False,7.38,ブラッククローバー
Chainsaw Man,8.4,False,,チェンソーマン
Bastard!!,6.5,False,6.75,バスタード!! 暗黒の破壊神
One Punch Man,8.7,True,8.57,ワンパンマン
Dragon Ball Z,8.8,True,8.16,ドラゴンボールZ
Dragon Ball Z,8.8,False,8.16,ドラゴンボールZ
Cowboy Bebop,8.9,True,8.78,カウボーイビバップ
Neon Genesis Evangelion,8.5,False,8.32,新世紀エヴァンゲリオン
Gintama,8.7,False,8.96,銀魂
Gintama,8.8,False,8.96,銀魂
Dragon Ball Super,8.3,False,7.42,ドラゴンボール超（スーパー）
Mob Psycho 100,8.6,False,8.49,モブサイコ100
Sword Art Online,7.5,False,7.25,ソードアート・オンライン
Horimiya,8.1,False,8.6,ホリミヤ
The Promised Neverland,8.2,False,8.65,約束のネバーランド
Prison School,7.6,False,7.71,監獄学園〈プリズンスクール〉
Fairy Tail,7.9,False,7.68,FAIRY TAIL（フェアリーテイル）
Tokyo Ghoul,7.7,False,7.81,東京喰種-トーキョーグール-
Dr. Stone,8.1,False,8.34,ドクターストーン
High School DxD,7.6,False,7.4,ハイスクールD×D
Fruits Basket,8.6,False,7.69,フルーツバスケット
Fruits Basket,7.9,False,7.69,フルーツバスケット
Classroom of the Elite,7.7,False,7.85,ようこそ実力至上主義の教室へ
Made in Abyss,8.4,False,8.74,メイドインアビス
Violet Evergarden,8.4,False,8.64,ヴァイオレット・エヴァーガーデン
Psycho-Pass,8.2,False,8.38,サイコパス
Your Lie in April,8.6,False,8.74,四月は君の嘘
That Time I Got Reincarnated as a Slime,8.1,False,8.07,転生したらスライムだった件
Redo of Healer,6.4,False,6.22,回復術士のやり直し
Fire Force,7.6,False,7.68,炎炎ノ消防隊
Akame ga Kill!,7.8,False,7.53,アカメが斬る！
Serial Experiments Lain,8.1,False,8.03,シリアルエクスペリメンツレイン
Assassination Classroom,8.0,False,8.12,暗殺教室
Goblin Slayer,7.5,False,7.46,ゴブリンスレイヤー
Elfen Lied,7.9,False,7.56,エルフェンリート
Samurai Champloo,8.6,False,8.5,サムライチャンプルー
Hellsing Ultimate,8.2,False,8.4,HELLSING OVA
The Rising of the Shield Hero,7.9,False,8.0,盾の勇者の成り上がり
The Rising of the Shield Hero,7.9,False,,盾の勇者の成り上がり
To Your Eternity,8.4,False,,不滅のあなたへ
Afro Samurai,7.6,False,7.36,アフロサムライ
Fate/Zero,8.2,False,8.34,フェイト/ゼロ
DARLING in the FRANXX,7.3,False,7.33,ダーリン・イン・ザ・フランキス
Trigun,8.2,False,8.24,トライガン
Black Butler,7.7,False,7.75,黒執事
Gantz,7.2,False,7.05,ガンツ
FLCL,8.1,False,8.03,フリクリ
Ergo Proxy,7.9,False,7.92,エルゴプラクシー
Sonic X,6.2,False,6.46,ソニック X
Dragon Ball GT,6.8,False,6.48,ドラゴンボールGT
Hellsing,7.8,False,7.5,Hellsing [ヘルシング]
Death Parade,7.9,False,8.2,デス・パレード
The Ancient Magus' Bride,7.7,False,8.1,魔法使いの嫁
Golden Kamuy,8.1,False,7.83,ゴールデンカムイ
Toradora!,8.0,False,8.24,とらドラ！
Interspecies Reviewers,7.3,False,7.58,異種族レビュアーズ
Deadman Wonderland,7.1,False,7.22,デッドマン・ワンダーランド
No Guns Life,6.7,False,6.89,ノー・ガンズ・ライフ
No Guns Life,6.7,False,7.05,ノー・ガンズ・ライフ
"No Game, No Life",7.6,False,8.2,ノーゲーム・ノーライフ
Edens Zero,7.2,False,,EDENS ZERO
Tower of God,7.6,False,7.66,神之塔 -Tower of God-
Bakemonogatari,8.0,False,8.36,化物語
91 Days,7.7,False,7.84,91Days
Fate/stay night,7.3,False,7.34,Fate/stay night
The Way of the Househusband,7.3,False,,極主夫道
Aggretsuko,8.0,False,7.64,アグレッシブ烈子
Aggretsuko,8.0,False,7.7,アグレッシブ烈子
ReLIFE,7.8,False,8.03,ReLIFE
SK8 the Infinity,8.1,False,7.96,SK∞ エスケーエイト
The God of High School,7.2,False,7.07,THE GOD OF HIGH SCHOOL ゴッド・オブ・ハイスクール
The God of High School,7.2,False,7.02,갓오브하이스쿨
Puella Magi Madoka Magica,8.2,False,8.38,魔法少女まどか★マギカ
Akudama Drive,7.3,False,7.75,アクダマドライブ
Space Dandy,8.1,False,7.88,スペース☆ダンディ
Baccano!,8.2,False,8.42,バッカーノ！
Shaman King,7.0,False,7.78,シャーマンキング
Angel Beats!,7.6,False,8.15,Angel Beats!（エンジェルビーツ）
Log Horizon,7.5,False,8.0,ログ・ホライズン
The Tatami Galaxy,8.4,False,8.61,四畳半神話大系
Durarara!!,7.8,False,8.18,デュラララ!!
Darwin's Game,7.2,False,7.3,ダーウィンズゲーム
Ranma ½,7.9,False,7.76,らんま1/2
Tekkonkinkreet,7.5,False,7.98,鉄コン筋クリート
Girls Bravo,6.5,False,6.45,GIRLSブラボー first season
Yu-Gi-Oh! GX,6.8,False,7.16,遊☆戯☆王　デュエルモンスターズ GX
Strike the Blood,6.9,False,7.14,ストライク・ザ・ブラッド
Full Metal Panic!,7.6,False,7.65,フルメタル・パニック！
D.Gray-man,7.7,False,8.05,ディー・グレイマン
Ping Pong the Animation,8.6,False,8.63,ピンポン THE ANIMATION
Wolf's Rain,7.9,False,7.82,ウルフズレイン
Outlaw Star,7.9,False,7.87,星方武侠アウトロースター
Outlaw Star,7.9,False,6.94,星方武侠アウトロースター パイロット版
Outlaw Star,7.9,False,7.11,星方武侠アウトロースター
Infinite Stratos,6.6,False,6.75,IS 〈インフィニット・ストラトス〉
Tsuredure Children,7.3,False,7.67,徒然チルドレン
Godzilla Singular Point,6.5,False,,ゴジラ S.P ＜シンギュラポイント＞
Bloom Into You,7.8,False,7.93,やがて君になる
Stitch!,4.5,False,6.04,スティッチ！
Little Witch Academia,7.8,False,7.91,リトルウィッチアカデミア
Little Witch Academia,7.3,False,7.91,リトルウィッチアカデミア
Yu-Gi-Oh! Arc-V,6.0,False,6.79,遊☆戯☆王　アーク・ファイブ ARC-V
Tsugumomo,6.6,False,7.07,つぐもも
O Maidens in Your Savage Season,7.2,False,7.5,荒ぶる季節の乙女どもよ。
Armitage III,6.9,False,7.05,アミテージ・ザ・サード
Barakamon,8.2,False,8.41,ばらかもん
Blood+,7.6,False,7.66,ブラッドプラス
Diabolik Lovers,4.9,False,5.3,DIABOLIK LOVERS
Sirius the Jaeger,6.8,False,7.04,天狼〈シリウス〉 Sirius the Jaeger
Kemono Jihen,7.3,False,7.56,怪物事変
Seiren,5.7,False,6.31,セイレン
Gunsmith Cats,7.2,False,7.27,ガンスミス キャッツ
Zatch Bell!,7.2,False,7.55,金色のガッシュベル!!
Blood Lad,7.0,False,7.33,ブラッドラッド
Absolute Duo,6.3,False,6.51,アブソリュート・デュオ
Superbook,6.6,False,5.99,アニメ 親子劇場
Samurai 7,7.6,False,7.48,サムライセブン
Black Bullet,6.9,False,7.17,ブラック・ブレット　BLACK BULLET　［黒の銃弾］
Kaiba,8.1,False,8.17,カイバ
Planetes,8.1,False,8.31,プラネテス
Toriko,7.2,False,7.56,トリコ
